x,committed,heapTotal,heapUsed,external,rss
2.197,5783.552,5881.856,5318.076,0.272,41328
3.205,6078.464,6144,5324.188,0.271,41264
4.21,6078.464,6144,5398.34,0.313,41344
5.223,6078.464,6144,5475.856,0.353,41456
6.227,6078.464,6144,5547.42,0.395,41520
7.242,5865.472,6144,5374.776,0.266,41344
8.254,6111.232,6144,5446.212,0.308,41392
9.26,6111.232,6144,5516.112,0.35,41696
10.278,6012.928,6291.456,5475.192,0.39,41680
11.291,6012.928,6291.456,5544.908,0.272,41760
12.296,6258.688,6291.456,5614.672,0.319,41824
13.301,6258.688,6291.456,5684.42,0.366,34112
14.311,6258.688,6291.456,5754.152,0.412,34192
15.32,6258.688,6291.456,5932.908,0.459,35456
16.328,6537.216,6815.744,5738.864,0.271,35424
17.339,6782.976,6815.744,5803.968,0.318,35472
18.344,6782.976,6815.744,5868.996,0.365,35552
19.361,6782.976,6815.744,5933.624,0.412,38576
20.375,6782.976,6815.744,5996.508,0.459,38640
21.384,6750.208,7028.736,6011.116,0.272,38688
22.39,6750.208,7028.736,6074,0.319,38752
23.406,6995.968,7028.736,6136.936,0.361,38784
24.419,6995.968,7028.736,6199.82,0.408,38864
25.434,6995.968,7028.736,6262.704,0.454,38928
26.45,6750.208,7028.736,6108.016,0.501,38768
27.46,6750.208,7028.736,6170.9,0.272,38832
28.475,6995.968,7028.736,6233.82,0.316,38880
29.488,6995.968,7028.736,6296.704,0.362,38960
30.501,6995.968,7028.736,6359.588,0.409,39008
31.519,6750.208,7028.736,6239.044,0.456,38880
32.531,6750.208,7028.736,6302.04,0.273,38992
33.547,6995.968,7028.736,6364.732,0.319,39040
34.565,6995.968,7028.736,6424.704,0.366,39536
35.582,6995.968,7028.736,6484.224,0.413,39584
36.601,6995.968,7028.736,6543.744,0.46,39648
37.616,6750.208,7028.736,6329.352,0.271,39472
38.629,7077.888,7356.416,6694.08,0.318,39840
39.646,7323.648,7356.416,6753.696,0.364,39888
40.654,7323.648,7356.416,6813.216,0.411,39952
41.671,7323.648,7356.416,6872.736,0.458,40016
42.684,7323.648,7356.416,6932.332,0.505,40064
43.694,7340.032,7618.56,6751.724,0.552,39920
44.707,7340.032,7618.56,6811.244,0.272,39952
